city,cluster_id,n_trade_areas,total,share,cluster_label_ko,description_ko
강남구,0,22,216,0.10185185185185185,대형 음식 상권,강남구 내 대형 음식 상권의 비중은 10.2%입니다.
강남구,1,128,216,0.5925925925925926,소형 소매 상권,강남구 내 소형 소매 상권의 비중은 59.3%입니다.
강남구,2,22,216,0.10185185185185185,중형 수리·개인 상권,강남구 내 중형 수리·개인 상권의 비중은 10.2%입니다.
강남구,3,22,216,0.10185185185185185,소형 교육 상권,강남구 내 소형 교육 상권의 비중은 10.2%입니다.
강남구,4,22,216,0.10185185185185185,대형 과학·기술 상권,강남구 내 대형 과학·기술 상권의 비중은 10.2%입니다.
강동구,0,19,185,0.10270270270270271,대형 음식 상권,강동구 내 대형 음식 상권의 비중은 10.3%입니다.
강동구,1,109,185,0.5891891891891892,소형 소매 상권,강동구 내 소형 소매 상권의 비중은 58.9%입니다.
강동구,2,19,185,0.10270270270270271,중형 수리·개인 상권,강동구 내 중형 수리·개인 상권의 비중은 10.3%입니다.
강동구,3,19,185,0.10270270270270271,소형 교육 상권,강동구 내 소형 교육 상권의 비중은 10.3%입니다.
강동구,4,19,185,0.10270270270270271,대형 과학·기술 상권,강동구 내 대형 과학·기술 상권의 비중은 10.3%입니다.
강북구,0,13,128,0.1015625,대형 음식 상권,강북구 내 대형 음식 상권의 비중은 10.2%입니다.
강북구,1,76,128,0.59375,소형 소매 상권,강북구 내 소형 소매 상권의 비중은 59.4%입니다.
강북구,2,13,128,0.1015625,중형 수리·개인 상권,강북구 내 중형 수리·개인 상권의 비중은 10.2%입니다.
강북구,3,13,128,0.1015625,소형 교육 상권,강북구 내 소형 교육 상권의 비중은 10.2%입니다.
강북구,4,13,128,0.1015625,대형 과학·기술 상권,강북구 내 대형 과학·기술 상권의 비중은 10.2%입니다.
강서구,0,20,198,0.10101010101010101,대형 음식 상권,강서구 내 대형 음식 상권의 비중은 10.1%입니다.
강서구,1,118,198,0.5959595959595959,소형 소매 상권,강서구 내 소형 소매 상권의 비중은 59.6%입니다.
강서구,2,20,198,0.10101010101010101,중형 수리·개인 상권,강서구 내 중형 수리·개인 상권의 비중은 10.1%입니다.
강서구,3,20,198,0.10101010101010101,소형 교육 상권,강서구 내 소형 교육 상권의 비중은 10.1%입니다.
강서구,4,20,198,0.10101010101010101,대형 과학·기술 상권,강서구 내 대형 과학·기술 상권의 비중은 10.1%입니다.
관악구,0,21,209,0.10047846889952153,대형 음식 상권,관악구 내 대형 음식 상권의 비중은 10.0%입니다.
관악구,1,125,209,0.5980861244019139,소형 소매 상권,관악구 내 소형 소매 상권의 비중은 59.8%입니다.
관악구,2,21,209,0.10047846889952153,중형 수리·개인 상권,관악구 내 중형 수리·개인 상권의 비중은 10.0%입니다.
관악구,3,21,209,0.10047846889952153,소형 교육 상권,관악구 내 소형 교육 상권의 비중은 10.0%입니다.
관악구,4,21,209,0.10047846889952153,대형 과학·기술 상권,관악구 내 대형 과학·기술 상권의 비중은 10.0%입니다.
광진구,0,15,150,0.1,대형 음식 상권,광진구 내 대형 음식 상권의 비중은 10.0%입니다.
광진구,1,90,150,0.6,소형 소매 상권,광진구 내 소형 소매 상권의 비중은 60.0%입니다.
광진구,2,15,150,0.1,중형 수리·개인 상권,광진구 내 중형 수리·개인 상권의 비중은 10.0%입니다.
광진구,3,15,150,0.1,소형 교육 상권,광진구 내 소형 교육 상권의 비중은 10.0%입니다.
광진구,4,15,150,0.1,대형 과학·기술 상권,광진구 내 대형 과학·기술 상권의 비중은 10.0%입니다.
구로구,0,16,159,0.10062893081761007,대형 음식 상권,구로구 내 대형 음식 상권의 비중은 10.1%입니다.
구로구,1,95,159,0.5974842767295597,소형 소매 상권,구로구 내 소형 소매 상권의 비중은 59.7%입니다.
구로구,2,16,159,0.10062893081761007,중형 수리·개인 상권,구로구 내 중형 수리·개인 상권의 비중은 10.1%입니다.
구로구,3,16,159,0.10062893081761007,소형 교육 상권,구로구 내 소형 교육 상권의 비중은 10.1%입니다.
구로구,4,16,159,0.10062893081761007,대형 과학·기술 상권,구로구 내 대형 과학·기술 상권의 비중은 10.1%입니다.
금천구,0,10,96,0.10416666666666667,대형 음식 상권,금천구 내 대형 음식 상권의 비중은 10.4%입니다.
금천구,1,56,96,0.5833333333333334,소형 소매 상권,금천구 내 소형 소매 상권의 비중은 58.3%입니다.
금천구,2,10,96,0.10416666666666667,중형 수리·개인 상권,금천구 내 중형 수리·개인 상권의 비중은 10.4%입니다.
금천구,3,10,96,0.10416666666666667,소형 교육 상권,금천구 내 소형 교육 상권의 비중은 10.4%입니다.
금천구,4,10,96,0.10416666666666667,대형 과학·기술 상권,금천구 내 대형 과학·기술 상권의 비중은 10.4%입니다.
노원구,0,19,184,0.10326086956521739,대형 음식 상권,노원구 내 대형 음식 상권의 비중은 10.3%입니다.
노원구,1,108,184,0.5869565217391305,소형 소매 상권,노원구 내 소형 소매 상권의 비중은 58.7%입니다.
노원구,2,19,184,0.10326086956521739,중형 수리·개인 상권,노원구 내 중형 수리·개인 상권의 비중은 10.3%입니다.
노원구,3,19,184,0.10326086956521739,소형 교육 상권,노원구 내 소형 교육 상권의 비중은 10.3%입니다.
노원구,4,19,184,0.10326086956521739,대형 과학·기술 상권,노원구 내 대형 과학·기술 상권의 비중은 10.3%입니다.
도봉구,0,14,136,0.10294117647058823,대형 음식 상권,도봉구 내 대형 음식 상권의 비중은 10.3%입니다.
도봉구,1,80,136,0.5882352941176471,소형 소매 상권,도봉구 내 소형 소매 상권의 비중은 58.8%입니다.
도봉구,2,14,136,0.10294117647058823,중형 수리·개인 상권,도봉구 내 중형 수리·개인 상권의 비중은 10.3%입니다.
도봉구,3,14,136,0.10294117647058823,소형 교육 상권,도봉구 내 소형 교육 상권의 비중은 10.3%입니다.
도봉구,4,14,136,0.10294117647058823,대형 과학·기술 상권,도봉구 내 대형 과학·기술 상권의 비중은 10.3%입니다.
동대문구,0,16,157,0.10191082802547771,대형 음식 상권,동대문구 내 대형 음식 상권의 비중은 10.2%입니다.
동대문구,1,94,157,0.5987261146496815,소형 소매 상권,동대문구 내 소형 소매 상권의 비중은 59.9%입니다.
동대문구,2,16,157,0.10191082802547771,중형 수리·개인 상권,동대문구 내 중형 수리·개인 상권의 비중은 10.2%입니다.
동대문구,3,16,157,0.10191082802547771,소형 교육 상권,동대문구 내 소형 교육 상권의 비중은 10.2%입니다.
동대문구,4,15,157,0.09554140127388536,대형 과학·기술 상권,동대문구 내 대형 과학·기술 상권의 비중은 9.6%입니다.
동작구,0,15,150,0.1,대형 음식 상권,동작구 내 대형 음식 상권의 비중은 10.0%입니다.
동작구,1,90,150,0.6,소형 소매 상권,동작구 내 소형 소매 상권의 비중은 60.0%입니다.
동작구,2,15,150,0.1,중형 수리·개인 상권,동작구 내 중형 수리·개인 상권의 비중은 10.0%입니다.
동작구,3,15,150,0.1,소형 교육 상권,동작구 내 소형 교육 상권의 비중은 10.0%입니다.
동작구,4,15,150,0.1,대형 과학·기술 상권,동작구 내 대형 과학·기술 상권의 비중은 10.0%입니다.
마포구,0,16,160,0.1,대형 음식 상권,마포구 내 대형 음식 상권의 비중은 10.0%입니다.
마포구,1,96,160,0.6,소형 소매 상권,마포구 내 소형 소매 상권의 비중은 60.0%입니다.
마포구,2,16,160,0.1,중형 수리·개인 상권,마포구 내 중형 수리·개인 상권의 비중은 10.0%입니다.
마포구,3,16,160,0.1,소형 교육 상권,마포구 내 소형 교육 상권의 비중은 10.0%입니다.
마포구,4,16,160,0.1,대형 과학·기술 상권,마포구 내 대형 과학·기술 상권의 비중은 10.0%입니다.
서대문구,0,14,140,0.1,대형 음식 상권,서대문구 내 대형 음식 상권의 비중은 10.0%입니다.
서대문구,1,84,140,0.6,소형 소매 상권,서대문구 내 소형 소매 상권의 비중은 60.0%입니다.
서대문구,2,14,140,0.1,중형 수리·개인 상권,서대문구 내 중형 수리·개인 상권의 비중은 10.0%입니다.
서대문구,3,14,140,0.1,소형 교육 상권,서대문구 내 소형 교육 상권의 비중은 10.0%입니다.
서대문구,4,14,140,0.1,대형 과학·기술 상권,서대문구 내 대형 과학·기술 상권의 비중은 10.0%입니다.
서초구,0,18,177,0.1016949152542373,대형 음식 상권,서초구 내 대형 음식 상권의 비중은 10.2%입니다.
서초구,1,105,177,0.5932203389830508,소형 소매 상권,서초구 내 소형 소매 상권의 비중은 59.3%입니다.
서초구,2,18,177,0.1016949152542373,중형 수리·개인 상권,서초구 내 중형 수리·개인 상권의 비중은 10.2%입니다.
서초구,3,18,177,0.1016949152542373,소형 교육 상권,서초구 내 소형 교육 상권의 비중은 10.2%입니다.
서초구,4,18,177,0.1016949152542373,대형 과학·기술 상권,서초구 내 대형 과학·기술 상권의 비중은 10.2%입니다.
성동구,0,17,169,0.10059171597633136,대형 음식 상권,성동구 내 대형 음식 상권의 비중은 10.1%입니다.
성동구,1,101,169,0.5976331360946746,소형 소매 상권,성동구 내 소형 소매 상권의 비중은 59.8%입니다.
성동구,2,17,169,0.10059171597633136,중형 수리·개인 상권,성동구 내 중형 수리·개인 상권의 비중은 10.1%입니다.
성동구,3,17,169,0.10059171597633136,소형 교육 상권,성동구 내 소형 교육 상권의 비중은 10.1%입니다.
성동구,4,17,169,0.10059171597633136,대형 과학·기술 상권,성동구 내 대형 과학·기술 상권의 비중은 10.1%입니다.
성북구,0,20,198,0.10101010101010101,대형 음식 상권,성북구 내 대형 음식 상권의 비중은 10.1%입니다.
성북구,1,118,198,0.5959595959595959,소형 소매 상권,성북구 내 소형 소매 상권의 비중은 59.6%입니다.
성북구,2,20,198,0.10101010101010101,중형 수리·개인 상권,성북구 내 중형 수리·개인 상권의 비중은 10.1%입니다.
성북구,3,20,198,0.10101010101010101,소형 교육 상권,성북구 내 소형 교육 상권의 비중은 10.1%입니다.
성북구,4,20,198,0.10101010101010101,대형 과학·기술 상권,성북구 내 대형 과학·기술 상권의 비중은 10.1%입니다.
송파구,0,27,264,0.10227272727272728,대형 음식 상권,송파구 내 대형 음식 상권의 비중은 10.2%입니다.
송파구,1,156,264,0.5909090909090909,소형 소매 상권,송파구 내 소형 소매 상권의 비중은 59.1%입니다.
송파구,2,27,264,0.10227272727272728,중형 수리·개인 상권,송파구 내 중형 수리·개인 상권의 비중은 10.2%입니다.
송파구,3,27,264,0.10227272727272728,소형 교육 상권,송파구 내 소형 교육 상권의 비중은 10.2%입니다.
송파구,4,27,264,0.10227272727272728,대형 과학·기술 상권,송파구 내 대형 과학·기술 상권의 비중은 10.2%입니다.
양천구,0,18,175,0.10285714285714286,대형 음식 상권,양천구 내 대형 음식 상권의 비중은 10.3%입니다.
양천구,1,103,175,0.5885714285714285,소형 소매 상권,양천구 내 소형 소매 상권의 비중은 58.9%입니다.
양천구,2,18,175,0.10285714285714286,중형 수리·개인 상권,양천구 내 중형 수리·개인 상권의 비중은 10.3%입니다.
양천구,3,18,175,0.10285714285714286,소형 교육 상권,양천구 내 소형 교육 상권의 비중은 10.3%입니다.
양천구,4,18,175,0.10285714285714286,대형 과학·기술 상권,양천구 내 대형 과학·기술 상권의 비중은 10.3%입니다.
영등포구,0,18,180,0.1,대형 음식 상권,영등포구 내 대형 음식 상권의 비중은 10.0%입니다.
영등포구,1,108,180,0.6,소형 소매 상권,영등포구 내 소형 소매 상권의 비중은 60.0%입니다.
영등포구,2,18,180,0.1,중형 수리·개인 상권,영등포구 내 중형 수리·개인 상권의 비중은 10.0%입니다.
영등포구,3,18,180,0.1,소형 교육 상권,영등포구 내 소형 교육 상권의 비중은 10.0%입니다.
영등포구,4,18,180,0.1,대형 과학·기술 상권,영등포구 내 대형 과학·기술 상권의 비중은 10.0%입니다.
용산구,0,16,158,0.10126582278481013,대형 음식 상권,용산구 내 대형 음식 상권의 비중은 10.1%입니다.
용산구,1,94,158,0.5949367088607594,소형 소매 상권,용산구 내 소형 소매 상권의 비중은 59.5%입니다.
용산구,2,16,158,0.10126582278481013,중형 수리·개인 상권,용산구 내 중형 수리·개인 상권의 비중은 10.1%입니다.
용산구,3,16,158,0.10126582278481013,소형 교육 상권,용산구 내 소형 교육 상권의 비중은 10.1%입니다.
용산구,4,16,158,0.10126582278481013,대형 과학·기술 상권,용산구 내 대형 과학·기술 상권의 비중은 10.1%입니다.
은평구,0,16,160,0.1,대형 음식 상권,은평구 내 대형 음식 상권의 비중은 10.0%입니다.
은평구,1,96,160,0.6,소형 소매 상권,은평구 내 소형 소매 상권의 비중은 60.0%입니다.
은평구,2,16,160,0.1,중형 수리·개인 상권,은평구 내 중형 수리·개인 상권의 비중은 10.0%입니다.
은평구,3,16,160,0.1,소형 교육 상권,은평구 내 소형 교육 상권의 비중은 10.0%입니다.
은평구,4,16,160,0.1,대형 과학·기술 상권,은평구 내 대형 과학·기술 상권의 비중은 10.0%입니다.
종로구,0,17,169,0.10059171597633136,대형 음식 상권,종로구 내 대형 음식 상권의 비중은 10.1%입니다.
종로구,1,101,169,0.5976331360946746,소형 소매 상권,종로구 내 소형 소매 상권의 비중은 59.8%입니다.
종로구,2,17,169,0.10059171597633136,중형 수리·개인 상권,종로구 내 중형 수리·개인 상권의 비중은 10.1%입니다.
종로구,3,17,169,0.10059171597633136,소형 교육 상권,종로구 내 소형 교육 상권의 비중은 10.1%입니다.
종로구,4,17,169,0.10059171597633136,대형 과학·기술 상권,종로구 내 대형 과학·기술 상권의 비중은 10.1%입니다.
중구,0,15,150,0.1,대형 음식 상권,중구 내 대형 음식 상권의 비중은 10.0%입니다.
중구,1,90,150,0.6,소형 소매 상권,중구 내 소형 소매 상권의 비중은 60.0%입니다.
중구,2,15,150,0.1,중형 수리·개인 상권,중구 내 중형 수리·개인 상권의 비중은 10.0%입니다.
중구,3,15,150,0.1,소형 교육 상권,중구 내 소형 교육 상권의 비중은 10.0%입니다.
중구,4,15,150,0.1,대형 과학·기술 상권,중구 내 대형 과학·기술 상권의 비중은 10.0%입니다.
중랑구,0,16,159,0.10062893081761007,대형 음식 상권,중랑구 내 대형 음식 상권의 비중은 10.1%입니다.
중랑구,1,95,159,0.5974842767295597,소형 소매 상권,중랑구 내 소형 소매 상권의 비중은 59.7%입니다.
중랑구,2,16,159,0.10062893081761007,중형 수리·개인 상권,중랑구 내 중형 수리·개인 상권의 비중은 10.1%입니다.
중랑구,3,16,159,0.10062893081761007,소형 교육 상권,중랑구 내 소형 교육 상권의 비중은 10.1%입니다.
중랑구,4,16,159,0.10062893081761007,대형 과학·기술 상권,중랑구 내 대형 과학·기술 상권의 비중은 10.1%입니다.
